Current St #,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Year Current Building Built
311,,,,,,,,,,,,,,,,,"Sampson & Harring, eye & motor mechs","Sampson & Harring, eye & motor mechs",Sampson N.H cycle & motor mechanics,Sampson N.H cycle & motor mechanics,Sampson N.H cycle & motor mechanics,Sampson N.H cycle & motor mechanics,"Noack, R, Ladies Hairdressers","Noack, R, Ladies Hairdressers","Noack, R, Ladies Hairdressers","Noack, R, Ladies Hairdressers","Noack, R, Ladies Hairdressers","Noack, R, Ladies Hairdressers","Noack, R, Ladies Hairdressers","Noack, R, Ladies Hairdressers","Noack, R, Ladies Hairdressers","Noack, R, Ladies Hairdressers","Noack, R, Ladies Hairdressers","Noack, R, Ladies Hairdressers","Noack, R, Ladies Hairdressers",,Vacant,"Harrys electrical service, electrical supplies","Harrys electrical service, electrical supplies","Harrys electrical service, electrical supplies",,American Drycleaners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bohemia's Charcoal Inn Restaurant,,,,,,,,,,,,,Rendezvous Takeaway & Delicacies,,,,,,,,,,,,,,,,,,,,1919 to 1920
312,"Ben Jones, Shoemaker",,"Ben Jones, Boot Dealer & Maker",,,"Ben Jones, Shoemaker",,"Ben Jones, Boot Dealer",,,,,"Ben Jones, Boot Dealer & Maker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vertex Offset General Printers,Vertex Offset General Printers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,"Bennett & Burnside, grocers",,,Hart Ohas furniture,Hart Ohas furniture,Hart Ohas furniture,Vacant,St Kilda Cafe,St Kilda Cafe,St Kilda Cafe,St Kilda Cafe,St Kilda Cafe,St Kilda Cafe,St Kilda Cafe,St Kilda Cafe,St Kilda Cafe,St Kilda Cafe,St Kilda Cafe,St Kilda Cafe,St Kilda Cafe,,St Kilda Cafe,St Kilda Cafe,St Kilda Cafe,,,St Kilda Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balkan Restaurant,,,,,,,,,,,,,Dim Sim House Chinese Restaurant,,,,,,,,,,,,,,,,,,,,1919 to 1920
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Devine Jno, second hand dealer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vertex Offset General Printers,Vertex Offset General Printers,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden Gate,Golden Gate,William Nails & Beauty Centre,William Nails & Beauty Centre,1905
315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Christine Beauty Salon, ladies hairdresser",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919 to 1920
316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Devine Jno, second hand dealer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nino Musto Music Shop,Nino Musto Music Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden Gate,Golden Gate,Golden Gate,Golden Gate,1905
317,,,,,,,,-,,,,,Alfred S Locke. Eye Agt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kakulas Bros., grocer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H & R Block,,,,,,,,,,,,,Sri Melaka Restaurant & Confectionary,,,,,,,,,,,,,,,,,,,,1919 to 1920
318,Harry Hatton. Fruitere & Confectioner,"Hatton Harry, fruitr. & confer",Miss E Toms. Fruiterer  & Confectioner,"Thomas Machinsky, Grocer and Fruiterer","Thomas Machinsky, Grocer and Fruiterer","Thomas Machinsky, Grocer and Fruiterer",,Joseph Zeitlin. Confectioner & Greengrocer,,,,,"W Schapira, Watchmaker; Mrs H Hayman, Fruiterer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metro Employment Exchange registry office ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nino Musto Music Shop,Nino Musto Music Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SunBBQ Restaurant,"Sun Cafe/SunBBQ (upstairs), Cafe/Restaurant",
319,,,,,,,,-,,,,,"Arthur Barnard, Fruiterer & Confectioner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barnard Arthur, Fruitier and Confectioner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satay House,,,,,,,,,,,,,,,,,Emma's Seafoods Yong Tofu,Emma's Seafoods Yong Tofu,Emma's Seafoods Yong Tofu,1919 to 1920
320,W. J Hunter & Co. Storekeepers,Macey Arthur C. grocer,,"Thomas Machinsky, Grocer and Fruiterer","Thomas Machinsky, Grocer and Fruiterer","Thomas Machinsky, Grocer and Fruiterer",,Dewar & Walsh Grocers; Frederick E (D & W ) Walsh,,,,,Dewar & Walsh Grocers; Fred T Walsh (D & W),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McLennan Ken, grocer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Marco Pizza Restaurant,Lori's Place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SunBBQ Restaurant,SunBBQ Restaurant,1905
321,,,,,,,,,,,,,Alex Trouchet. Chemist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MacDonnell J, Chemist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bizarre Antiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emma's Seafoods Yong Tofu,Emma's Seafoods Yong Tofu,Emma's Seafoods Yong Tofu,
322,,Gordon Thos. Cycle works,Arthur Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adriatic Drapery ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,F Barker Fruiterer & Confectioner,,Thos. Gordon. Cycle Works,"Thomas Gordon, Cycle Works","Thomas Gordon, Cycle Works","Thomas Gordon, Cycle Works",,Thos. Gordon. Cycle Works,,,,,"Wm Davis, Plumber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taimac Video Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935
324,F Barker Fruiterer & Confectioner,Gordon Thos. Cycle works,Thos. Gordon. Cycle Works,"Thomas Gordon, Cycle Works","Thomas Gordon, Cycle Works","Thomas Gordon, Cycle Works",,Thos. Gordon. Cycle Works,,,,,"Wm Davis, Plumber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taimac Video Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Hay Lee. Laundry,"Lee Hay, laundry",Hay Lee. Laundry,Hay Lee. Laundry,,"Hay Lee, Laundry",,,,,,,Mrs M E Kelly Fancy Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taimac Video Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Mrs Elsie Keshan,,,William Williams,William Williams,"Mrs E. Davies, Boarding House",,Reg Reynolds,,,,,Jas Flood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Chas Sullivan,,,,Mrs Esma Irving,Mrs M. Ivory,,Joseph Rosenfeldt,,,,,Joseph Rosenfeldt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue Room Cabaret & Milk Bar,,,,,,,,,Blue Room Cabaret and Milk Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Harry Boice. Butcher,"Boice Harry, butcher",Harry Boice. Butcher,"Harry Boice, Butcher","Harry Boice, Butcher","Harry Boice, Butcher",,"Harry Brandreth; Mrs E. M. Brandreth, Fish Shop",,,,,"Mrs May Hellen, Ham and Beef",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Evans F E, watchmaker; Bastian Mrs L, laundry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Currie Bros. Dairymen,,Raymond Woodcock. Plumber,"William G. Weylandt, Product Merchant 
Chinese Market Gardens","William G. Weylandt, Product Merchant 
Chinese Market Gardens",,,William G Weylandt. Produce Merchant,,,,,"I Berinshan, Bag Merchant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WA Stove Co., Stove Makers; Hassell and Co. Stove Makers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399 bar,,,,
339 (off),,,,,,,,Jno. H .Thorne. Blacksmith,,,,,"Samuel Mack, Blacksmith",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,"Arthur Geddes, House  & Land agent",Isaac Wm. carrier,Anders Tollos,"Harry Boice, Butcher","Harry Boice, Butcher","Harry Boice, Butcher",,J C Ibbott. Butcher,,,,,"Mrs E M White, Smallgoods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McNicol Mrs L, second hand dealer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Turnbull J J, Motor Engineer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,William Hodden,Macpherson Mrs Emily,-,John Furlong,John Furlong,Mrs Ellen Brandrith,,Mrs G Stone. Storekeeper,,,,,"M Segal, Grocer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bennett A S, wicker worker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Turnbull J J, Motor Engineer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Henry Doyle,"Ewart Tasman, Chandler C.A. builder & contr",-,,Mrs F. Dunn,Mrs F. Dunn,,,,,,,"Jno J McGavin, tinsmith",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Turnbull J J, Motor Engineer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,-,,Charles A Chandler. Builder,"Charles A. Chandler, Builder
Henry P. McDonough, Coach Trimmer","Max Spokone, Boxmaker
Henry P. McDonough, Coach Trimmer","Henry P. McDonough, Coach Trimmer",,Robert Donald. ,,,,,"Hankin and Thompson, Signwriters",,,,,,,,,,,,,"Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz","Perth General Dealers, Morris Samelowitz",Perth General Dealers,Perth General Dealers,Perth General Dealers,Perth General Dealers,Perth General Dealers,Perth General Dealers,Perth General Dealers,Perth General Dealers,Perth General Dealers,Perth General Dealers,Perth General Dealers,Perth General Dealers,Perth General Dealers,"Perth General Dealers, Dora & Ephraim Topelberg","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Turnbull J J, Motor Engineer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,-,,Jno Thorne. Blacksmith,"John Thorne, Blacksmith","John Thorne, Blacksmith",,,,,,,,,,,,,,,,,,,,,"Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz; Topelberg E second hand dealers","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz","Perth General Dealers (yard), Morris Samelowitz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kelly & Lewis (WA) Pty Ltd Motor Engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,"Jas Feakes, Butcher",Feakes Jas. butcher,"Jas Feakes, Butcher","Jas Feakes, Butcher","Jas Feakes, Butcher","Jas Feakes, Butcher",,"Jas Feakes, Butcher",,,,,"Jas Feakes, Butcher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ephraim Topelberg owned this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,"Jas Feakes, Butcher",Feakes Jas. butcher,"Jas Feakes, Butcher","Jas Feakes, Butcher","Jas Feakes, Butcher","Jas Feakes, Butcher",,"Jas Feakes, Butcher",,,,,"Jas Feakes, Butcher",,,,,,,,,,,,,,,,,,,,,,,,,,Morris Samelowitz,Morris Samelowitz,"Ephraim Topelberg, 2nd Hand Furniture Dealer",Dow Pty Ltd Electrical engineers,"Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer","Ephraim Topelberg, 2nd Hand Furniture Dealer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Stephen Son. Fruiterer & Greengrocer,,,,,"Mrs E. Anderton, Confectioner",,Miss M Gheelan. Confectioner,,,,,"Mrs R Thomas, Fruiterer & Confectioner; David W Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,,,,,"Mrs H. Gibbon, Grocer",,Mrs H Gibbon. Grocer,,,,,"Misses C & S O'Neill, Fancy Goods",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McDonald A H, store room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taimac Video Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Mrs H Gibbon. Grocer,Mrs H Gibbon. Grocer,Mrs H Gibbon. Grocer,Mrs H Gibbon. Grocer,,"Mrs H. Gibbon, Grocer",,Mrs H Gibbon. Grocer,,,,,Mrs H Gibbon. Grocer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bishop A E, hairdresser and tob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taimac Video Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taimac Video Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,P Trompp,P Trompp,Mrs Elizabeth Grant,Hamilton T. Stokesberry,,"Mrs A. Beckett, Boarding House
Hamilton T. Stokesberry",,"Walter J Bevan, Boarding House",,,,,Frederick R Flowler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taimac Video Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Jas George. Prod. Mcht,Jas George. Prod. Mcht,Jas George. Prod. Mcht,"Jas George, Product Merchant",,"James George, Product Merchant",,Jas George. Prod. Mcht,,,,,Jas J P George. Prod. Mcht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Style Clothing Co. Clothing mfr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taimac Video Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Harry Keen; A. E. White,Coomer Mason,Coomer Mason,George William,,William George,,William H George,,,,,William H George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
? (odd),Chinese Market Gardens,,Chinese Market Gardens,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taimac Video Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,"Hugh Nolan; Birt Walter, Carrier",,Jno P Martin,Jno P Martin,James Carney,,,Mrs M Simpson. Lodging house,,,,,Thomas Smales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H. J Mendelson & Co Giftware,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,The Salvation Army State Headquarters Fortress Corps,
370,Jno Cartwright,,,,,"Joseph D. Shingles
Charles A. Green",,Mrs A Ward,,,,,Mrs A Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Max Silkin,,Jno Braschey,"Rubin Monochin, Dealer",John Rogers,,,Jno. A Gardner. Music Teacher,,,,,William Francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
